"","x"
"1",11.7738081575041
"2",11.9600546754708
"3",12.0303118006768
"4",12.0999021573778
"5",12.1745988842162
"6",12.136121902499
"7",12.1041108889989
"8",12.0592150744188
"9",12.1546183058404
"10",11.6744902769061
"11",12.2425547378434
"12",11.4543854179177
"13",11.4687333051659
"14",11.9082587682608
"15",11.8290601607031
"16",12.7828119224418
"17",12.4476706044287
"18",12.6551757045411
"19",12.4093307523326
"20",13.0578628840038
"21",12.5904226255022
"22",12.2449936681658
"23",12.0618207906293
"24",12.0760467771326
"25",12.1006366456957
"26",12.2180524826139
"27",12.459930041136
"28",12.3040384576789
"29",12.2490454408528
"30",12.1473087056673
"31",12.1446007722671
"32",11.547668278747
"33",12.1458086302018
"34",12.5474466350621
"35",12.6341039135947
"36",12.3161322847196
"37",12.082973005276
"38",11.9296956524191
"39",11.9329335226621
"40",12.0016340781182
"41",12.0475535920946
"42",11.9438881561663
"43",12.6302633674259
"44",12.3536709378472
"45",12.2504246471189
"46",12.0902612281107
"47",12.2912988018188
"48",12.0673486540276
"49",11.9608153484416
"50",11.8958627638112
"51",11.884241249847
"52",11.9648967380427
"53",11.9073537157538
"54",11.9604285339057
"55",12.0884128820517
"56",12.0165084940482
"57",11.9182209637884
"58",11.7284272849603
"59",12.3476055850507
"60",11.8234671303585
"61",11.879690783689
"62",12.0152544441296
"63",11.6075501073465
"64",11.7402035498631
"65",11.787546968458
"66",11.776463456436
"67",11.5557746616061
"68",11.7726709076801
"69",11.8392778012218
"70",12.0330614349759
"71",11.656792038059
"72",11.5458458836232
"73",11.8256607232382
"74",11.6693883295671
"75",11.8740949912401
"76",11.6957772055883
"77",11.4956695662027
"78",12.0614800356383
"79",12.3760632498552
"80",11.4942872326112
"81",11.87913058454
"82",11.7731748390449
"83",12.1506877973761
"84",11.3733495882803
"85",11.5161573420147
"86",11.8081414943887
"87",11.7523449658273
"88",11.7461051351897
"89",11.7077238341875
"90",11.8200584734011
"91",11.6616432174638
"92",11.7358529855171
"93",11.8385363262952
"94",11.5904206452632
"95",11.9883883103785
"96",11.393974610703
"97",11.685913797309
"98",11.4563929066609
"99",11.3942151101008
"100",11.8441001949876
"101",11.7193621090646
"102",11.7054864021534
"103",11.7110932928274
"104",11.8910043864814
"105",11.9038575852153
"106",12.4642362630078
"107",11.3922223966184
"108",12.2570474873673
"109",11.6217191144586
"110",11.8389643656119
"111",11.6651793161688
"112",11.8905033265068
"113",12.4668365765374
"114",11.7228124824234
"115",12.3007558336179
"116",12.2057451715432
"117",12.2488891808943
"118",11.8908451251536
"119",11.8805233604417
"120",12.1861427832766
"121",11.8228231790999
"122",11.7773784409482
"123",12.7404478456361
"124",12.3990366172348
"125",11.8527904835451
"126",11.1648381433749
"127",11.6463465230544
"128",11.8940856560543
"129",11.5064112990361
"130",11.8016782651829
"131",11.5894080978973
"132",11.7713773162827
"133",11.7551782773709
"134",11.6307468545574
"135",11.5516463342587
"136",12.2320916259368
"137",11.9824674408157
"138",12.2443340510221
"139",12.2182215394273
"140",12.1645835342696
"141",11.0128999128779
"142",11.5673376653676
"143",11.5672980244168
"144",12.5056468148821
"145",12.4865402228538
"146",12.0783085892878
"147",11.9843780590856
"148",12.295523936418
"149",12.2541724923228
"150",11.9782406499693
"151",11.9282477804625
"152",11.9527647499485
"153",12.0292492212493
"154",11.7033004730065
"155",11.3093634807616
"156",11.2284218445248
"157",11.351175243798
"158",11.7520209095578
"159",11.8377236799174
"160",11.8779895447736
"161",11.8297450425289
"162",11.8521678262409
"163",12.6271187226909
"164",12.1396034178978
"165",11.7426539946644
"166",12.0948473181101
"167",12.1144032660096
"168",12.5882305312332
"169",12.0990926385192
"170",12.6436898345657
"171",12.2992519055871
"172",12.4411065335473
"173",12.0595852769615
"174",12.0839995763182
"175",12.0937476128248
"176",12.0348892114453
"177",12.057996814476
"178",12.201678376902
"179",12.1233922668404
"180",12.453716259802
"181",12.1324256752233
"182",12.2783938291048
"183",12.2678839777875
"184",12.3210810527143
"185",12.1331897668503
"186",12.0323624723522
"187",12.0440175340441
"188",11.7627341640202
"189",11.835505663353
"190",11.6958565574264
"191",11.7073099463281
"192",11.446263458685
"193",11.4881377793528
"194",11.9267255894721
"195",12.0227184882295
"196",11.8959504894948
"197",11.9294849337099
"198",11.8951821935143
"199",11.8667996201211
"200",11.969790688267
"201",12.9872871113853
"202",12.7781987768257
"203",12.8296527431147
"204",12.8024425566753
"205",12.6717077310101
"206",12.7413508823132
"207",12.7384684930048
"208",12.7075743225948
"209",12.6517358365359
"210",12.7607380075495
"211",12.4845809700548
"212",13.0859545085672
"213",12.602283928731
"214",12.4541938585571
"215",12.1087208228273
"216",12.0930126802268
"217",12.2827801821776
"218",12.9495105149248
"219",12.8216127358694
"220",12.6090141171011
"221",12.4262541564908
"222",12.6359793504121
"223",12.1283672948328
"224",12.0581852061186
"225",12.0522414673339
"226",12.0267613718902
"227",12.0455674839204
"228",12.1420405278554
"229",12.1514303003571
"230",12.0885211037383
"231",12.0629831084188
"232",12.4800346825389
"233",12.0586633255043
"234",12.1047885215128
"235",12.0529194681713
"236",12.5562320781908
"237",12.076758024904
"238",12.7309068593446
"239",12.5873974514852
"240",12.3460471760966
"241",12.4604059627011
"242",12.4586409940242
"243",12.4285261829348
"244",12.6355446134523
"245",12.3434441146494
"246",12.9180961585452
"247",12.2781013496469
"248",12.2934835589748
"249",12.6545090179383
"250",12.2965314715367
"251",12.5329483085094
"252",12.411692825751
"253",12.4995736852063
"254",12.2743357266208
"255",12.2153585154785
"256",12.1812973824801
"257",12.1383847761383
"258",11.6890210142579
"259",12.2439607528363
"260",12.4405180196415
